variant,outcome,n,mean_slope,t,p_t,p_wilcoxon,p_sign,n_negative
R,points,100,-1.1565333333333334,-19.783909081924854,3.5683662997061296e-36,1.3724008882638734e-17,6.449688895763542e-24,96
R,first_rt_log,100,-0.6268642138764552,-7.755533280359225,7.984415645745522e-12,2.114983688122918e-11,6.147806615047975e-11,82
R,total_rt_log,100,-0.5202843357404745,-7.970116138870127,2.781272041129333e-12,1.7532632363263363e-10,1.6673626494501009e-06,74
R,PC depth path,100,-1.8565420518755582,-11.086480084646329,4.743567641511671e-19,3.239224407217651e-14,4.3373666334216375e-09,79
R,PC depth levelmean,100,-1.7052235776551339,-9.098644801345428,1.0106629413286885e-14,4.987486124239767e-13,1.1159089057251951e-09,80
R,PC depth max,100,-1.843770619341783,-10.546852761278398,7.037843068800988e-18,2.6061680107329787e-13,2.7027625220487884e-10,81
R,PC depth sum,100,-1.893967487027314,-11.6046593750456,3.6128930268379595e-20,9.967579141863275e-15,6.147806615047975e-11,82
V,points,100,-1.2621142857142857,-23.156475018317398,9.509175334548919e-42,8.267341267699856e-18,2.630866896130179e-25,97
V,first_rt_log,100,-0.4915156023785061,-8.833874453804803,3.8048817109722365e-14,1.405205713543345e-13,1.3097998650070218e-11,83
V,total_rt_log,100,-0.21235910397934774,-3.9467824221636243,0.00014821997255625095,0.008704630134727566,0.36820161732669576,55
V,PC depth path,100,-1.7613311791461117,-8.342447406077918,4.407427483465479e-13,5.246516957318068e-11,1.1159089057251951e-09,80
V,PC depth levelmean,100,-1.8163177493745968,-8.701553210012646,7.370384990736051e-14,1.1565784488179628e-11,2.7027625220487884e-10,81
V,PC depth max,100,-1.8711626199169986,-9.774623004928623,3.394112352067365e-16,7.189401383931969e-13,2.7027625220487884e-10,81
V,PC depth sum,100,-1.7222987469953197,-8.346230118235331,4.325405620902996e-13,4.3608373720483984e-11,4.3373666334216375e-09,79
T,points,100,-2.5420571428571432,-22.911467122507823,2.313494942516237e-41,1.0039670325166548e-17,2.005959521923613e-21,94
T,first_rt_log,100,-0.9433315435561864,-9.436480785398338,1.8553519700073274e-15,4.333861669542593e-14,4.825421503937195e-13,85
T,total_rt_log,100,-0.4087123106520203,-4.173439961254754,6.453834812364594e-05,0.0011025108249583552,0.006637120515926128,64
T,PC depth path,100,-3.957788530115134,-11.778408578253853,1.5299146054011715e-20,1.0521265456623128e-14,3.3220489794536525e-18,91
T,PC depth levelmean,100,-4.043795511203401,-13.700553648299163,1.3603461017277663e-24,7.029567490431701e-17,3.208563668244003e-19,92
T,PC depth max,100,-3.910436984810532,-11.49360508780925,6.264348733023747e-20,5.191257998789323e-15,3.208563668244003e-19,92
T,PC depth sum,100,-4.005136315286755,-12.348934730690257,9.258708923618094e-22,1.5427344182356265e-15,3.208563668244003e-19,92
